product_code,normalized_code,description
"0 258 986 620","","Lambda sensörü"
"025898679R","","Lambda sensörü"
"026121030E","","Krank mili sensörü"
"026123000J","","Basınç sezicisi"
"0 261 230 256","","Basınç sezicisi"
"0 261 230 491","","Basınç sezicisi"
"0 261 230 526","","Basınç sezicisi"
"026123100L","","Darbe sensörü"
"0 261 232 057","","Basınç sezicisi"
"0 261 232 0B4","","Basınç sezicisi"
"0 261 232 0B5","","Basınç sezicisi"
"0 261 500 441","","Enjeksiyon supabı, benzin"
"0 261 500 498","","Enjeksiyon supabı, benzin"
"026154400L","","Basınç sezicisi"
"0 265 008 332","","Tekerlek dönme sayısı algılayıcı, önde"
"0 265 008 339","","tekerlek dönme sayısı algılayıcı"
"0 265 009 020","","tekerlek dönme sayısı algılayıcı"
"0 280 158 058","","Enjeksiyon supabı, benzin"
"02802180BD","","Hava kütlesi ölçeri"
"0 280 158 112","","Enjeksiyon supabı, benzin"
"0 281 006 434","","Basınç sezicisi"
"0 281 007 127","","Partikül sensörü"
"0 281 007 157","","Partikül sensörü"
"0 281 008 530","","Partikül sensörü"
"0 281 008 590","","Yüksek basınç sensörü"
"0 281 008 624","","Partikül sensörü"
"0 281 050 407","","NOx sensörü"
"0 281 050 408","","NOx sensörü"
"0 392 024 535","","Elektrikli ek su pompası"
"0 390 203 311","","Dişli motor"
"0 400 866 238","","Enjeksiyon pompası agregası, dizel"
"0 402 066 737","","Enjeksiyon pompası agregası, dizel"
"0 402 076 778","","Enjeksiyon pompası agregası, dizel"
"0 402 066 741","","Enjeksiyon pompası agregası, dizel"
"0 402 619 801","","Enjeksiyon pompası agregası, dizel"
"0 402 406 004","","Püskürtme pompası, dizel"
"0 402 619 802","","Enjeksiyon pompası agregası, dizel"
"0 402 636 802","","Enjeksiyon pompası agregası, dizel"
"0 402 648 976","","Enjeksiyon pompası agregası, dizel"
"0 402 696 806","","Enjeksiyon pompası agregası, dizel"
"0 402 690 809","","Enjeksiyon pompası agregası, dizel"
"0 402 796 833","","Enjeksiyon pompası agregası, dizel"
"0 406 008 208","","Püskürtme pompası, dizel"
"0 414 287 018","","Enjeksiyon pompası PF, dizel"
"0 414 287 023","","Enjeksiyon pompası PF, dizel"
"0 414 287 026","","Enjeksiyon pompası PF, dizel"
"0 414 651 999","","Enjeksiyon pompası PF, dizel"
"0 432 131 621","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 626","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 641","","Enjektör meme tutturucusu kombinasyonu"
"0 432 131 731","","NBF ile enjektör meme tutturucusu kombinasyonu (İğne sensörü)"
