product_code,normalized_code,description
"0 986 424 016","","Diskli fren balatası seti; ön"
"0 986 354 026","","Sigorta tutucusu"
"0 986 424 033","","Diskli fren balatası seti; ön"
"0 986 424 022","","Diskli fren balatası seti; ön"
"0 986 424 030","","Diskli fren balatası seti; ön"
"0 986 424 042","","Diskli fren balatası seti; ön"
"0 986 424 056","","Diskli fren balatası seti; arka"
"0 986 424 057","","Diskli fren balatası seti; arka"
"0 986 424 067","","Diskli fren balatası seti; ön"
"0 986 424 092","","Diskli fren balatası seti; ön"
"0 986 424 104","","Diskli fren balatası seti; ön"
"0 986 424 073","","Diskli fren balatası seti; ön"
"0 986 424 144","","Diskli fren balatası seti; ön"
"0 986 424 124","","Diskli fren balatası seti; arka"
"0 986 424 125","","Diskli fren balatası seti; ön"
"0 986 424 176","","Diskli fren balatası seti; ön"
"0 986 424 215","","Diskli fren balatası seti; ön"
"0 986 424 227","","Diskli fren balatası seti; ön"
"0 986 424 246","","Diskli fren balatası seti; ön"
"0 986 424 251","","Diskli fren balatası seti; ön"
"0 986 424 267","","Diskli fren balatası seti; arka"
"0 986 424 268","","Diskli fren balatası seti; ön"
"0 986 424 240","","Diskli fren balatası seti; ön"
"0 986 424 274","","Diskli fren balatası seti; ön"
"0 986 424 285","","Diskli fren balatası seti; ön"
"0 986 424 287","","Diskli fren balatası seti; ön"
"0 986 424 275","","Diskli fren balatası seti; arka"
"0 986 424 289","","Diskli fren balatası seti; ön"
"0 986 424 293","","Diskli fren balatası seti; ön"
"0 986 424 295","","Diskli fren balatası seti; arka"
"0 986 424 297","","Diskli fren balatası seti; ön"
"0 986 424 313","","Diskli fren balatası seti; arka"
"0 986 424 303","","Diskli fren balatası seti; ön"
"0 986 424 326","","Diskli fren balatası seti; ön"
"0 986 424 329","","Diskli fren balatası seti; ön"
"0 986 424 331","","Diskli fren balatası seti; ön"
"0 986 424 332","","Diskli fren balatası seti; ön"
"0 986 424 334","","Diskli fren balatası seti; arka"
"0 986 424 335","","Diskli fren balatası seti; ön"
"0 986 424 333","","Diskli fren balatası seti; ön"
"0 986 424 340","","Diskli fren balatası seti; ön"
"0 986 424 347","","Diskli fren balatası seti; ön"
"0 986 424 352","","Diskli fren balatası seti; ön"
"0 986 424 358","","Diskli fren balatası seti; arka"
"0 986 424 351","","Diskli fren balatası seti; ön"
"0 986 424 360","","Diskli fren balatası seti; ön"
"0 986 424 363","","Diskli fren balatası seti; ön"
"0 986 424 368","","Diskli fren balatası seti; ön"
"0 986 424 371","","Diskli fren balatası seti; ön"
"0 986 424 373","","Diskli fren balatası seti; ön"
"0 986 424 379","","Diskli fren balatası seti; ön"
"0 986 424 383","","Diskli fren balatası seti; arka"
"0 986 424 384","","Diskli fren balatası seti; arka"
"0 986 424 385","","Diskli fren balatası seti; ön"
"0 986 424 386","","Diskli fren balatası seti; ön"
"0 986 424 387","","Diskli fren balatası seti; ön"
"0 986 424 388","","Diskli fren balatası seti; ön"
"0 986 424 390","","Diskli fren balatası seti; ön"
"0 986 424 393","","Diskli fren balatası seti; ön"
"0 986 424 395","","Diskli fren balatası seti; ön"
"0 986 424 397","","Diskli fren balatası seti; ön"
"0 986 424 404","","Diskli fren balatası seti; arka"
"0 986 424 399","","Diskli fren balatası seti; ön"
"0 986 424 414","","Diskli fren balatası seti; ön"
"0 986 424 411","","Diskli fren balatası seti; ön"
"0 986 424 416","","Diskli fren balatası seti; ön"
"0 986 424 418","","Diskli fren balatası seti; arka"
"0 986 424 427","","Diskli fren balatası seti; arka"
"0 986 424 431","","Diskli fren balatası seti; ön"
"0 986 424 430","","Diskli fren balatası seti; arka"
"0 986 424 432","","Diskli fren balatası seti; ön"
"0 986 424 433","","Diskli fren balatası seti; ön"
"0 986 424 437","","Diskli fren balatası seti; arka"
"0 986 424 436","","Diskli fren balatası seti; ön"
"0 986 424 440","","Diskli fren balatası seti; ön"
"0 986 424 439","","Diskli fren balatası seti; arka"
"0 986 424 445","","Diskli fren balatası seti; ön"
"0 986 424 443","","Diskli fren balatası seti; ön"
"0 986 424 460","","Diskli fren balatası seti; ön"
"0 986 424 456","","Diskli fren balatası seti; ön"
"0 986 424 464","","Diskli fren balatası seti; arka"
"0 986 424 453","","Diskli fren balatası seti; ön"
"0 986 424 466","","Diskli fren balatası seti; ön"
"0 986 424 474","","Diskli fren balatası seti; ön"
"0 986 424 502","","Diskli fren balatası seti; ön"
"0 986 424 491","","Diskli fren balatası seti; ön"
"0 986 424 488","","Diskli fren balatası seti; ön"
"0 986 424 485","","Diskli fren balatası seti; ön"
"0 986 424 509","","Diskli fren balatası seti; ön"
"0 986 424 511","","Diskli fren balatası seti; ön"
"0 986 424 531","","Diskli fren balatası seti; ön"
"0 986 424 516","","Diskli fren balatası seti; arka"
"0 986 424 514","","Diskli fren balatası seti; ön"
"0 986 424 515","","Diskli fren balatası seti; ön"
"0 986 424 532","","Diskli fren balatası seti; arka"
"0 986 424 537","","Diskli fren balatası seti; ön"
"0 986 424 541","","Diskli fren balatası seti; ön"
"0 986 424 540","","Diskli fren balatası seti; ön"
"0 986 424 544","","Diskli fren balatası seti; ön"
"0 986 424 545","","Diskli fren balatası seti; arka"
"0 986 424 556","","Diskli fren balatası seti; ön"
"0 986 424 560","","Diskli fren balatası seti; ön"
"0 986 424 566","","Diskli fren balatası seti; ön"
"0 986 424 570","","Diskli fren balatası seti; ön"
"0 986 424 577","","Diskli fren balatası seti; ön"
"0 986 424 581","","Diskli fren balatası seti; ön"
"0 986 424 582","","Diskli fren balatası seti; ön"
"0 986 424 585","","Diskli fren balatası seti; arka"
"0 986 424 605","","Diskli fren balatası seti; arka"
"0 986 424 608","","Diskli fren balatası seti; ön"
"0 986 424 599","","Diskli fren balatası seti; ön"
"0 986 424 606","","Diskli fren balatası seti; arka"
"0 986 424 613","","Diskli fren balatası seti; ön"
"0 986 424 610","","Diskli fren balatası seti; ön"
"0 986 424 616","","Diskli fren balatası seti; ön"
"0 986 424 620","","Diskli fren balatası seti; ön"
"0 986 424 621","","Diskli fren balatası seti; ön"
"0 986 424 623","","Diskli fren balatası seti; arka"
"0 986 424 625","","Diskli fren balatası seti; arka"
"0 986 424 628","","Diskli fren balatası seti; ön"
"0 986 424 635","","Diskli fren balatası seti; ön"
"0 986 424 640","","Diskli fren balatası seti; ön"
"0 986 424 638","","Diskli fren balatası seti; ön"
"0 986 424 639","","Diskli fren balatası seti; ön"
"0 986 424 644","","Diskli fren balatası seti; ön"
"0 986 424 655","","Diskli fren balatası seti; arka"
"0 986 424 664","","Diskli fren balatası seti; ön"
"0 986 424 661","","Diskli fren balatası seti; arka"
"0 986 424 663","","Diskli fren balatası seti; ön"
"0 986 424 666","","Diskli fren balatası seti; ön"
"0 986 424 667","","Diskli fren balatası seti; arka"
"0 986 424 669","","Diskli fren balatası seti; ön"
"0 986 424 668","","Diskli fren balatası seti; ön"
"0 986 424 671","","Diskli fren balatası seti; arka"
"0 986 424 670","","Diskli fren balatası seti; ön"
"0 986 424 672","","Diskli fren balatası seti; ön"
"0 986 424 682","","Diskli fren balatası seti; ön"
"0 986 424 694","","Diskli fren balatası seti; ön"
"0 986 424 687","","Diskli fren balatası seti; ön"
"0 986 424 696","","Diskli fren balatası seti; ön"
"0 986 424 690","","Diskli fren balatası seti; ön"
"0 986 424 716","","Diskli fren balatası seti; ön"
"0 986 424 719","","Diskli fren balatası seti; ön"
"0 986 424 727","","Diskli fren balatası seti; ön"
"0 986 424 722","","Diskli fren balatası seti; ön"
"0 986 424 720","","Diskli fren balatası seti; ön"
"0 986 424 738","","Diskli fren balatası seti; ön"
"0 986 424 739","","Diskli fren balatası seti; ön"
"0 986 424 741","","Diskli fren balatası seti; arka"
"0 986 424 755","","Diskli fren balatası seti; arka"
"0 986 424 744","","Diskli fren balatası seti; arka"
"0 986 424 751","","Diskli fren balatası seti; arka"
"0 986 424 762","","Diskli fren balatası seti; arka"
"0 986 424 765","","Diskli fren balatası seti; ön"
"0 986 424 768","","Diskli fren balatası seti; ön"
"0 986 424 769","","Diskli fren balatası seti; ön"
"0 986 424 785","","Diskli fren balatası seti; ön"
"0 986 424 777","","Diskli fren balatası seti; ön"
"0 986 424 780","","Diskli fren balatası seti; ön"
"0 986 424 789","","Diskli fren balatası seti; ön"
"0 986 424 790","","Diskli fren balatası seti; arka"
"0 986 424 793","","Diskli fren balatası seti; ön"
"0 986 424 802","","Diskli fren balatası seti; arka"
"0 986 424 807","","Diskli fren balatası seti; arka"
"0 986 424 798","","Diskli fren balatası seti; arka"
"0 986 424 808","","Diskli fren balatası seti; ön"
"0 986 424 809","","Diskli fren balatası seti; ön"
"0 986 424 811","","Diskli fren balatası seti; ön"
"0 986 424 810","","Diskli fren balatası seti; ön"
"0 986 424 813","","Diskli fren balatası seti; arka"
"0 986 424 817","","Diskli fren balatası seti; arka"
"0 986 424 823","","Diskli fren balatası seti; ön"
"0 986 424 829","","Diskli fren balatası seti; ön"
"0 986 424 839","","Diskli fren balatası seti; arka"
"0 986 424 833","","Diskli fren balatası, diskli fren balatası seti"
"0 986 424 837","","Diskli fren balatası seti; ön"
"0 986 424 840","","Diskli fren balatası seti; arka"
"0 986 424 842","","Diskli fren balatası seti; ön"
"0 986 424 843","","Diskli fren balatası seti; ön"
"0 986 424 847","","Diskli fren balatası seti; ön"
